IDX	최초 출현 연도	색인표제어	등재표제어	조어 유형	원어	어종	품사	전문분야	의미 영역	X년 Y월 신어
2020-0226	2020	언택트시네마	언택트 시네마		(<영>▼un←contact cinema)	영_영	「구」			【2020년 4월 신어】
2020-0227	2020	언택트영업	언택트 영업		(<영>▼un←contact營業)	영_한	「구」			【2020년 3월 신어】
2020-0228	2020	언택트존	언택트 존		(<영>▼un←contact zone)	영_영	「구」			【2020년 6월 신어】
2020-0229	2020	언택트주	언택트-주		(<영>▼un←contact株)	영+한	「명」			【2020년 3월 신어】
2020-0230	2020	에코프로파일링	에코 프로파일링		(<영>echo profiling)	영_영	「구」			【2019년 10월 신어】
2020-0231	2020	엔번방사건	엔 번 방 사건		(<영>n番房事件)	영_한_한_한	「구」			【2019년 11월 신어】
2020-0232	2020	여객자동차운송플랫폼	여객^자동차^운송^플랫폼		(旅客自動車運送<영>platform)	한^한^한^영		『정보ㆍ통신』		【2019년 10월 신어】
2020-0233	2020	연관검색어정화운동	연관 검색어 정화 운동		(聯關檢索語淨化運動)	한_한_한_한	「구」			【2019년 10월 신어】
2020-0234	2020	연락제한요청권	연락^제한^요청권		(連絡制限要請權)	한^한^한		『법률』		【2020년 2월 신어】
2020-0235	2020	연령서열주의	연령 서열주의		(年齡序列主義)	한_한	「구」			【2019년 7월 신어】
2020-0236	2020	오저치고	오저치고		(오저<영>←chicken go)	고+고+영+영	「명」			【2019년 10월 신어】
2020-0237	2020	오케팅	오케팅		(오<영>←ticketing)	고+영	「명」			【2020년 3월 신어】
2020-0238	2020	온라인개학	온라인 개학		(<영>on-line開學)	영_한	「구」			【2020년 3월 신어】
2020-0239	2020	온라인노인정	온라인 노인정		(<영>on-line老人亭)	영_한	「구」			【2019년 8월 신어】
2020-0240	2020	온라인뷰잉룸	온라인 뷰잉 룸		(<영>▼on-line viewing room)	영_영_영	「구」			【2020년 2월 신어】
2020-0241	2020	온라인실버타운	온라인 실버타운		(<영>▼on-line silver town)	영_영	「구」			【2019년 8월 신어】
2020-0242	2020	온라인탑골공원	온라인 탑골 공원		(<영>▼on-line塔골公園)	영_(한+고)_한	「구」			【2019년 8월 신어】
2020-0243	2020	온택트	온택트		(<영>▼on←contact)	영+영	「명」			【2020년 3월 신어】
2020-0244	2020	요린이	요린이		(料린이)	한+고	「명」			【2019년 9월 신어】
2020-0245	2020	우한코로나	우한 코로나		(Wuhan[武漢]<영>←corona virus)	중_영	「구」			【2020년 1월 신어】
2020-0246	2020	우한폐렴	우한 폐렴		(Wuhan[武漢]肺炎▽)	중_한	「구」			【2019년 12월 신어】
2020-0247	2020	워라밸일자리장려금	워라밸^일자리^장려금		(<영>←work-life balance일자리奬勵金)	영^고^한		『복지』		【2019년 7월 신어】
2020-0248	2020	워킹스루	워킹-스루		(<영>▼walking through)	영+영	「명」			【2020년 3월 신어】
2020-0249	2020	워킹스루진료소	워킹스루 진료소		(<영>▼walking through診療所)	영_한	「구」			【2020년 3월 신어】
2020-0250	2020	원격수업시대	원격 수업 시대		(遠隔授業時代)	한_한_한	「구」			【2020년 4월 신어】
2020-0251	2020	위기관리참모훈련	위기관리^참모^훈련		(危機管理參謀訓鍊)	한^한^한		『군사』		【2019년 7월 신어】
2020-0252	2020	위기극복수당	위기^극복^수당		(危機克服手當)	한^한^한		『복지』		【2020년 3월 신어】
2020-0253	2020	위기아동경보망	위기 아동 경보망		(危機兒童警報網)	한_한_한	「구」			【2020년 2월 신어】
2020-0254	2020	위드코로나	위드 코로나		(<영>▼with←corona virus)	영_영	「구」			【2020년 5월 신어】
2020-0255	2020	위성비례정당	위성^비례^정당		(衛星比例政黨)	한^한^한		『정치』		【2019년 12월 신어】
2020-0256	2020	위험유포지수	위험^유포^지수		(危險流布指數)	한^한^한		『경제』		【2019년 7월 신어】
2020-0257	2020	위험행상지수	위험^행상^지수		(危險行商指數)	한^한^한		『경제』		【2019년 7월 신어】
2020-0258	2020	유덜트	유덜트		(<영>▼←youthful adult)	영+영	「명」			【2019년 7월 신어】
2020-0259	2020	유튜버셀러	유튜버-셀러		(<영>▼Youtuber seller)	영+영	「명」			【2019년 7월 신어】
2020-0260	2020	으뜸효율가전	으뜸^효율^가전		(으뜸效率家電)	고^한^한		『전기·전자』		【2019년 8월 신어】
2020-0261	2020	음향집게	음향^집게		(音響집게)	한^고		『물리』		【2019년 11월 신어】
2020-0262	2020	의료수어통역사	의료 수어 통역사		(醫療手語通譯士)	한_한_한	「구」			【2019년 10월 신어】
2020-0263	2020	이동검체채취	이동 검체 채취		(移動檢體採取)	한_한_한	「구」			【2020년 2월 신어】
2020-0264	2020	이동선별진료	이동^선별^진료		(移動選別診療)	한^한^한		『의학』		【2020년 1월 신어】
2020-0265	2020	이동선별진료소	이동^선별^진료소		(移動選別診療所)	한^한^한		『보건 일반』		【2020년 1월 신어】
2020-0266	2020	이링기아	이링기아		(<영>←Yilingia spiciformis)	영	「명」	『동물』		【2019년 9월 신어】
2020-0267	2020	이생집망	이생집망		(이生집亡)	고+한+고+한	「명」			【2020년 6월 신어】
2020-0268	2020	이시국여행	이 시국 여행		(이時局旅行)	고_한_한	「구」			【2020년 2월 신어】
2020-0269	2020	이학습터	이^학습터		(<영>←electronic學習터)	영^(한+고)		『교육』		【2020년 3월 신어】
2020-0270	2020	인싸커피	인싸 커피		(<영>▼←insider coffee)	영_영	「구」			【2020년 3월 신어】
2020-0271	2020	일시귀국생	일시 귀국생		(一時歸國生)	한_한	「구」			【2019년 8월 신어】
2020-0272	2020	일탈계	일탈-계		(逸脫計)	한+한	「명」			【2019년 8월 신어】
2020-0273	2020	일탈계정	일탈 계정		(逸脫計定)	한_한	「구」			【2019년 8월 신어】
2020-0274	2020	임금직무정보시스템	임금^직무^정보^시스템		(賃金職務情報<영>system)	한^한^한^영		『행정』		【2019년 12월 신어】
2020-0275	2020	임시지방공휴일	임시 지방 공휴일		(臨時地方公休日)	한_한_한	「구」			【2020년 3월 신어】
2020-0276	2020	자가격리면제서	자가 격리 면제서		(自家隔離免除書)	한_한_한	「구」			【2020년 3월 신어】
2020-0277	2020	자가격리앱	자가 격리 앱		(自家隔離<영>app)	한_한_영	「구」			【2020년 2월 신어】
2020-0278	2020	자본심화지수	자본^심화^지수		(資本深化指數)	한^한^한		『경제』		【2019년 9월 신어】
2020-0279	2020	자유계약점포	자유 계약 점포		(自由契約店鋪)	한_한_한	「구」			【2020년 1월 신어】
2020-0280	2020	자율공급망	자율 공급망		(自律供給網)	한_한	「구」			【2019년 9월 신어】
2020-0281	2020	작아격리	작아 격리		(작아隔離)	고_한	「구」			【2020년 4월 신어】
2020-0282	2020	잔돈계좌적립서비스	잔돈^계좌^적립^서비스		(殘돈計座積立<영>service)	(한+고)^한^한^영		『경제』		【2019년 11월 신어】
2020-0283	2020	재난구조수당	재난^구조^수당		(災難救助手當)	한^한^한		『복지』		【2020년 3월 신어】
2020-0284	2020	재난극복수당	재난^극복^수당		(災難克服手當)	한^한^한		『복지』		【2020년 3월 신어】
2020-0285	2020	재난기본소득	재난^기본^소득		(災難基本所得)	한^한^한		『복지』		【2020년 2월 신어】
2020-0286	2020	재난기본소득제	재난^기본^소득제		(災難基本所得制)	한^한^한		『복지』		【2020년 3월 신어】
2020-0287	2020	재난긴급생활비	재난^긴급^생활비		(災難緊急生活費)	한^한^한		『복지』		【2020년 3월 신어】
2020-0288	2020	재난긴급생활지원금	재난^긴급^생활^지원금		(災難緊急生活支援金)	한^한^한^한		『복지』		【2020년 3월 신어】
2020-0289	2020	재난긴급소득지원제도	재난^긴급^소득^지원^제도		(災難緊急所得支援制度)	한^한^한^한^한		『복지』		【2020년 3월 신어】
2020-0290	2020	재난생계비	재난^생계비		(災難生計費)	한^한		『복지』		【2020년 3월 신어】
2020-0291	2020	재난생계소득	재난^생계^소득		(災難生計所得)	한^한^한		『복지』		【2020년 3월 신어】
2020-0292	2020	재난생계수당	재난^생계^수당		(災難生計手當)	한^한^한		『복지』		【2020년 3월 신어】
2020-0293	2020	재난생계지원금	재난^생계^지원금		(災難生計支援金)	한^한^한		『복지』		【2020년 3월 신어】
2020-0294	2020	재난생활비	재난^생활비		(災難生活費)	한^한		『복지』		【2020년 3월 신어】
2020-0295	2020	재난생활안정자금	재난^생활^안정^자금		(災難生活安定資金)	한^한^한^한		『복지』		【2020년 4월 신어】
2020-0296	2020	재난생활지원금	재난^생활^지원금		(災難生活支援金)	한^한^한		『복지』		【2020년 3월 신어】
2020-0297	2020	재난소득기금	재난^소득^기금		(災難所得基金)   	한^한^한		『복지』		【2020년 3월 신어】
2020-0298	2020	재난수당	재난^수당		(災難手當)    	한^한		『복지』		【2020년 3월 신어】
2020-0299	2020	재량간주시간근로제	재량^간주^시간^근로제		(裁量看做時間勤勞制)	한^한^한^한		『행정』		【2019년 8월 신어】
2020-0300	2020	재미슬쩍꾼	재미 슬쩍꾼			고_고	「구」			【2019년 10월 신어】
2020-0301	2020	재양성자	재양성-자		(再陽性者)	한+한	「명」	『보건 일반』		【2020년 3월 신어】
2020-0302	2020	전자보석제도	전자^보석^제도		(電子保釋制度)   	한^한^한		『법률』		【2020년 2월 신어】
2020-0303	2020	전자수행추적시스템	전자^수행^추적^시스템		(電子隨行追跡<영>system)	한^한^한^영		『체육』		【2020년 2월 신어】
2020-0304	2020	젊집사	젊집사			고+고+고	「명」			【2020년 2월 신어】
2020-0305	2020	정보감염증	정보 감염증		(情報感染症)	한_한	「구」			【2020년 2월 신어】
2020-0306	2020	종합지급결제사업	종합^지급^결제^사업		(綜合支給決濟事業)	한^한^한^한		『경제』		【2020년 2월 신어】
2020-0307	2020	종합지급결제사업자	종합^지급^결제^사업자		(綜合支給決濟事業者)	한^한^한^한		『경제』		【2020년 2월 신어】
2020-0308	2020	종합지급결제업	종합^지급^결제업		(綜合支給決濟業)	한^한^한		『경제』		【2020년 2월 신어】
2020-0309	2020	종합지급결제업자	종합^지급^결제업자		(綜合支給決濟業者)	한^한^한		『경제』		【2020년 2월 신어】
2020-0310	2020	좋반	좋-반			고+고	「명」			【2019년 9월 신어】
2020-0311	2020	줌폭탄	줌-폭탄		(Zoom폭탄)	영+고	「명」			【2020년 4월 신어】
2020-0312	2020	집중감염원	집중^감염원		(集中感染源)	한^한		『보건 일반』		【2020년 3월 신어】
2020-0313	2020	집중사냥지역	집중^사냥^지역		(集中사냥地域)	한^고^한		『수의』		【2019년 10월 신어】
2020-0314	2020	집콕시대	집콕 시대		(집콕時代)	(고+고)_한	「구」			【2020년 3월 신어】
2020-0315	2020	집콕요리	집콕 요리		(집콕料理)	(고+고)_한	「구」			【2020년 3월 신어】
2020-0316	2020	집콕운동	집콕 운동		(집콕運動)	(고+고)_한	「구」			【2020년 3월 신어】
2020-0317	2020	집터파크	집터 파크		(집<영>←water park)	(고+영)_영	「구」			【2019년 7월 신어】
2020-0318	2020	차령공제율	차령^공제율		(車齡控除率)	한^한		『행정』		【2019년 11월 신어】
2020-0319	2020	채식선택제	채식^선택제		(菜食選擇制)	한^한		『교육』		【2020년 6월 신어】
2020-0320	2020	책값반환제	책값^반환제		(冊값返還制)	(한+고)^한		『행정』		【2020년 5월 신어】
2020-0321	2020	청년긴급수당	청년^긴급^수당		(靑年緊急手當)	한^한^한		『복지』		【2020년 3월 신어】
2020-0322	2020	청무피사	청무피사		(請무<영>←premium사)	한+고+영+고	「명」			【2019년 12월 신어】
2020-0323	2020	청포족	청포-족		(請抛族)	(한+한)+한	「명」			【2019년 12월 신어】
2020-0324	2020	촌므파탈	촌므파탈		(村<프>←homme fatale)	한+프	「명」			【2019년 7월 신어】
2020-0325	2020	취합검사기법	취합^검사^기법		(聚合檢査技法)	한^한^한		『보건 일반』		【2020년 5월 신어】
2020-0326	2020	취합검사법	취합^검사법		(聚合檢査法)	한^한		『보건 일반』		【2020년 4월 신어】
2020-0327	2020	친환경집밥	친환경 집밥		(親環境집밥)	한_고	「구」			【2020년 5월 신어】
2020-0328	2020	카피방	카피-방		(<영>copy房)	영+한	「명」			【2019년 11월 신어】
2020-0329	2020	캠린이	캠린이		(<영>←camping린이)	영+고	「명」			【2019년 9월 신어】
2020-0330	2020	케이방역	케이 방역		(K防疫)	영_한	「구」			【2020년 2월 신어】
2020-0331	2020	케이진단키트	케이 진단 키트		(K診斷kit)	영_한_영	「구」			【2020년 4월 신어】
2020-0332	2020	코돌이	코돌이		(<영>←corona virus돌이)	영+고	「명」			【2020년 4월 신어】
2020-0333	2020	코로나공조	코로나 공조		(<영>←corona virus共助)	영_한	「구」			【2020년 2월 신어】
2020-0334	2020	코로나대출	코로나 대출		(<영>←corona virus貸出)	영_한	「구」			【2020년 3월 신어】
2020-0335	2020	코로나돌이	코로나-돌이		(<영>←corona virus돌이)	영+고	「명」			【2020년 3월 신어】
2020-0336	2020	코로나둥이	코로나-둥이		(<영>←corona virus둥이)	영+고	「명」			【2020년 3월 신어】
2020-0337	2020	코로나바이러스감염증일구	코로나바이러스^감염증^일구		(<영>←corona virus感染症一九)	영^한^한		『보건 일반』		【2020년 2월 신어】
2020-0338	2020	코로나베이비	코로나 베이비		(<영>←corona virus baby)	영_영	「구」			【2020년 3월 신어】
2020-0339	2020	코로나베이비붐	코로나 베이비 붐		(<영>←corona virus baby boom)	영_영_영	「구」			【2020년 3월 신어】
2020-0340	2020	코로나보릿고개	코로나 보릿고개		(<영>←corona virus 보릿고개)	영_고	「구」			【2020년 2월 신어】
2020-0341	2020	코로나블랙	코로나 블랙		(<영>←corona virus black)	영_영	「구」			【2020년 4월 신어】
2020-0342	2020	코로나블랙스완	코로나 블랙 스완		(<영>←corona virus black swan)	영_영_영	「구」			【2020년 3월 신어】
2020-0343	2020	코로나블랙홀	코로나 블랙홀		(<영>←corona virus black hole)	영_영_영	「구」			【2020년 2월 신어】
2020-0344	2020	코로나블루	코로나 블루		(<영>←corona virus blue)	영_영	「구」			【2020년 2월 신어】
2020-0345	2020	코로나비만	코로나 비만		(<영>←corona virus肥滿)	영_한	「구」			【2020년 3월 신어】
2020-0346	2020	코로나사피엔스	코로나 사피엔스		(<영>←corona virus sapiens)	영_영	「구」			【2020년 4월 신어】
2020-0347	2020	코로나세대	코로나 세대		(<영>←corona virus世代)	영_한	「구」			【2020년 3월 신어】
2020-0348	2020	코로나쇼크	코로나 쇼크		(<영>←corona virus shock)	영_영	「구」			【2020년 1월 신어】
2020-0349	2020	코로나수능	코로나 수능		(<영>←corona virus修能)	영_한	「구」			【2020년 5월 신어】
2020-0350	2020	코로나수당	코로나 수당		(<영>←corona virus手當)	영_한	「구」			【2020년 3월 신어】
2020-0351	2020	코로나신데렐라	코로나 신데렐라		(<영>←corona virus Cinderella)	영_영	「구」			【2020년 6월 신어】
2020-0352	2020	코로나안개	코로나 안개		(<영>←corona virus안개)	영_고	「구」			【2020년 3월 신어】
2020-0353	2020	코로나앱	코로나 앱		(<영>←corona virus←application)	영_영	「구」			【2020년 2월 신어】
2020-0354	2020	코로나우울감	코로나 우울감		(<영>←corona virus憂鬱感)	영_한	「구」			【2020년 3월 신어】
2020-0355	2020	코로나우울증	코로나 우울증		(<영>←corona virus憂鬱症)	영_한	「구」			【2020년 2월 신어】
2020-0356	2020	코로나이혼	코로나 이혼		(<영>←corona virus離婚)	영_한	「구」			【2020년 3월 신어】
2020-0357	2020	코로나일구	코로나^일구		(<영>←corona virus一九)	영^한		『보건 일반』		【2020년 1월 신어】
2020-0358	2020	코로나전쟁	코로나 전쟁		(<영>←corona virus戰爭)	영_한	「구」			【2020년 1월 신어】
2020-0359	2020	코로나정치01	코로나 정치01		(<영>←corona virus政治)	영_한	「구」			【2020년 2월 신어】
2020-0360	2020	코로나정치02	코로나 정치02		(<영>←corona virus政治)	영_한	「구」			【2020년 2월 신어】
2020-0361	2020	코로나채권	코로나 채권		(<영>←corona virus債券)	영_한	「구」			【2020년 3월 신어】
2020-0362	2020	코로나총선	코로나 총선		(<영>←corona virus總選)	영_한	「구」			【2020년 1월 신어】
2020-0363	2020	코로나칼립스	코로나칼립스		(<영>←corona virus apocalypse)	영+영	「명」			【2020년 3월 신어】
2020-0364	2020	코로나케이션	코로나케이션		(<영>coronacation)	영	「명」			【2020년 4월 신어】
2020-0365	2020	코로나특수	코로나 특수		(<영>←corona virus特需)	영_한	「구」			【2020년 1월 신어】
2020-0366	2020	코로나팬데믹	코로나 팬데믹		(<영>←corona virus pandemic)	영_영	「구」			【2020년 2월 신어】
2020-0367	2020	코로나포비아	코로나 포비아		(<영>←corona virus phobia)	영_영	「구」			【2020년 1월 신어】
2020-0368	2020	코로나피싱	코로나 피싱		(<영>←corona virus phishing)	영_영	「구」			【2020년 2월 신어】
2020-0369	2020	코로노미	코로노미		(<영>←corona virus economy)	영+영	「명」			【2020년 3월 신어】
2020-0370	2020	코로노미쇼크	코로노미 쇼크		(<영>←corona virus←economy shock)	영_영	「구」			【2020년 3월 신어】
2020-0371	2020	코로니얼세대	코로니얼 세대		(<영>coronial 世代)	영_한	「구」			【2020년 4월 신어】
2020-0372	2020	코비드일구	코비드^일구		(<영>COVID一九)	영^한		『보건 일반』		【2020년 2월 신어】
2020-0373	2020	코비디보스	코비디보스		(<영>covidivorce)	영	「명」			【2020년 5월 신어】
2020-0374	2020	코비디엇	코비디엇		(<영>covidiot)	영	「명」			【2020년 4월 신어】
2020-0375	2020	큐레이터봇	큐레이터 봇		(<영>curator bot)	영_영	「구」			【2020년 1월 신어】
2020-0376	2020	큐코노미	큐코노미		(<영>▼←quarantine economy)	영+영	「명」			【2020년 3월 신어】
2020-0377	2020	탑골가요	탑골 가요		(塔골歌謠)	(한+고)_한	「구」			【2019년 8월 신어】
2020-0378	2020	탑골스타	탑골 스타		(塔골<영>star)	(한+고)_영	「구」			【2019년 10월 신어】
2020-0379	2020	택배없는날	택배 없는 날		(宅配없는날)	한_고_고	「구」			【2019년 7월 신어】
2020-0380	2020	턱스크	턱스크		(턱<영>←mask)	고+영	「명」			【2020년 5월 신어】
2020-0381	2020	퇴사플래너	퇴사 플래너		(退社<영>planner)	한_영	「구」			【2019년 10월 신어】
2020-0382	2020	퇴식로봇	퇴식 로봇		(退食<영>robot)	한_영	「구」			【2019년 12월 신어】
2020-0383	2020	투게더앳홈	투게더 앳 홈		(<영>together at home)	영_영_영	「구」			【2020년 3월 신어】
2020-0384	2020	트래블버블	트래블 버블		(<영>travel bubble)	영_영	「구」			【2020년 5월 신어】
2020-0385	2020	파생포비아	파생 포비아		(派生<영>phobia	한_영	「구」			【2019년 8월 신어】
2020-0386	2020	팬티코딩	팬티 코딩		(<영>▼←panties coding)	영_영	「구」			【2020년 3월 신어】
2020-0387	2020	펫시터중개업	펫시터^중개업		(<영>pet sitter仲介業)	영^한		『서비스업』		【2019년 7월 신어】
2020-0388	2020	포스트코로나	포스트 코로나		(<영>post←corona virus)	영_영	「구」			【2020년 2월 신어】
2020-0389	2020	포켓팅	포켓팅		(<영>▼←potato ticketing)	영+영	「명」			【2020년 3월 신어】
2020-0390	2020	플랫폼운송면허	플랫폼^운송^면허		(<영>platform運送免許)	영^한^한		『서비스업』		【2019년 7월 신어】
2020-0391	2020	플랫폼운송중개사업	플랫폼^운송^중개^사업		(<영>platform運送仲介事業)	영^한^한^한		『서비스업』		【2019년 10월 신어】
2020-0392	2020	플랫폼운수사업	플랫폼^운수^사업		(<영>platform運輸事業)	영^한^한		『서비스업』		【2019년 7월 신어】
2020-0393	2020	플랫폼운수사업자	플랫폼^운수^사업자		(<영>platform運輸事業者)	영^한^한		『서비스업』		【2019년 7월 신어】
2020-0394	2020	플루닛	플루닛		(<영>ploonet)	영	「명」			【2019년 7월 신어】
2020-0395	2020	피캉스	피캉스		(<영>←PC房<프>←vacance)	(영+한)+프	「명」			【2019년 7월 신어】
2020-0396	2020	핀셋방역	핀셋^방역		(<영>pincette防疫)	영^한		『보건 일반』		【2020년 2월 신어】
2020-0397	2020	학부모안심학년	학부모^안심^학년		(學父母安心學年)	한^한^한		『교육』		【2020년 3월 신어】
2020-0398	2020	학부모안심학년제	학부모^안심^학년제		(學父母安心學年制)	한^한^한		『교육』		【2020년 3월 신어】
2020-0399	2020	호프테이프	호프 테이프		(<영>▼hope tape)	영_영	「구」			【2020년 5월 신어】
2020-0400	2020	혼합검사법	혼합^검사법		(混合檢査法)	한^한		『보건 일반』		【2020년 3월 신어】
2020-0401	2020	혼합검체기법	혼합^검체^기법		(混合檢體技法)	한^한^한		『보건 일반』		【2020년 3월 신어】
2020-0402	2020	홈터파크	홈터 파크		(<영>▼home←water park)	영_영	「구」			【2020년 6월 신어】
2020-0403	2020	홈테인먼트	홈테인먼트		(<영>home←entertainment)	영+영	「명」			【2020년 4월 신어】
2020-0404	2020	화상벌레	화상 벌레		(火傷벌레)	한_고	「구」			【2019년 9월 신어】
2020-0405	2020	확찐자	확찐-자		(확찐者)	고+한	「명」			【2020년 3월 신어】
2021-0001	2021	가덕도신공항건설을위한특별법	가덕도^신공항^건설을^위한^특별법		(加德島新空港建設을爲한特別法)	한^한^(한+고)^(한+고)^한		『법률』		【2020년 11월 신어】
2021-0002	2021	가덕도특별법	가덕도^특별법		(加德島特別法)	한^한		『법률』		【2020년 11월 신어】
2021-0003	2021	가마니전략	가마니 전략		(가마니戰略)	고_한	「구」			【2020년 8월 신어】
2021-0004	2021	가불구취	가불구취		(價不購取)	한+한+한+한	「명」			【2020년 12월 신어】
2021-0005	2021	가상자산업법	가상^자산업법		(假想資産業法)	한^한		『법률』		【2021년 4월 신어】
2021-0006	2021	가상전화면접방식	가상 전화 면접 방식		(假想電話面接方式)	한_한_한_한	「구」			【2021년 3월 신어】
2021-0007	2021	가상출국여행	가상 출국 여행		(假想出國旅行)	한_한_한	「구」			【2020년 9월 신어】
2021-0008	2021	가정대기자	가정 대기자		(家庭待機者)	한_한	「구」			【2020년 8월 신어】
2021-0009	2021	가족돌봄휴가연장법	가족^돌봄^휴가^연장법		(家族돌봄休暇延長法)	한^고^한^한		『법률』		【2020년 8월 신어】
2021-0010	2021	감마변이	감마^변이		(<그>gamma變異)	그^한		『보건 일반』		【2021년 6월 신어】
2021-0011	2021	감염병전담요양병원	감염병^전담^요양^병원		(感染病專擔療養病院)	한^한^한^한		『의학』		【2020년 12월 신어】
2021-0012	2021	강제중도금	강제 중도금		(强制中途金)	한_한	「구」			【2020년 11월 신어】
2021-0013	2021	개인대주제도	개인^대주^제도		(個人貸株制度)	한^한^한		『경제』		【2021년 2월 신어】
2021-0014	2021	갭코노미	갭코노미		(<영>gapconomy)	영	「명」	『경제』		【2020년 12월 신어】
2021-0015	2021	거점전담병원의무지정기한	거점^전담^병원^의무^지정^기한		(據點專擔病院義務指定期限)	한^한^한^한^한^한		『의학』		【2021년 3월 신어】
2021-0016	2021	거점접종센터	거점^접종^센터		(據點接種<영>center)	한^한^영		『의학』		【2020년 12월 신어】
2021-0017	2021	건강생활실천지원금제	건강^생활^실천^지원금제		(健康生活實踐支援金制)	한^한^한^한		『보건 일반』		【2021년 6월 신어】
2021-0018	2021	검사임용개혁법	검사^임용^개혁법		(檢事任用改革法)	한^한^한		『법률』		【2020년 12월 신어】
2021-0019	2021	검수완박	검수완박		(檢授完剝)	한+한+한+한	「명」			【2021년 1월 신어】
2021-0020	2021	검체로봇	검체^로봇		(檢體<영>robot)	한^영		『보건 일반』		【2021년 5월 신어】
2021-0021	2021	고대면접촉	고대면 접촉		(高對面接觸)	한_한	「구」			【2020년 8월 신어】
2021-0022	2021	골플루언서	골플루언서		(<영>▼←golf influencer)	영+영	「명」			【2020년 8월 신어】
2021-0023	2021	공동격리자	공동 격리자		(共同隔離者)	한_한	「구」			【2020년 8월 신어】
2021-0024	2021	공민지	공민지		(公민지)	한+고	「명」			【2021년 6월 신어】
2021-0025	2021	공스장	공스장		(公<영>▼←health場)	한+영+한	「명」			【2020년 9월 신어】
2021-0026	2021	공정벌금	공정^벌금		(公正罰金)	한^한		『법률』		【2021년 4월 신어】
2021-0027	2021	공정벌금제	공정^벌금제		(公正罰金制)	한^한		『법률』		【2021년 4월 신어】
2021-0028	2021	관음충	관음-충		(觀淫蟲)	한+한	「명」			【2021년 1월 신어】
2021-0029	2021	구글갑질방지법	구글^갑질^방지법		(Google甲질防止法)	영^(한+고)^한		『법률』		【2020년 9월 신어】
2021-0030	2021	구레니얼	구레니얼		(俱<영>←millennial)	한+영	「명」			【2020년 8월 신어】
2021-0031	2021	국가치료격리병상	국가^치료^격리^병상		(國家治療隔離病床)	한^한^한^한		『의학』		【2020년 11월 신어】
2021-0032	2021	국방유공자예우법	국방^유공자^예우법		(國防有功者禮遇法)	한^한^한		『법률』		【2021년 4월 신어】
2021-0033	2021	군싹	군싹			고+고	「명」			【2021년 3월 신어】
2021-0034	2021	그린패스	그린^패스		(<영>green pass)	영^영		『보건 일반』		【2021년 2월 신어】
2021-0035	2021	근력저축운동	근력 저축 운동		(筋力貯蓄運動)	한_한_한	「구」			【2020년 8월 신어】
2021-0036	2021	근원환자	근원^환자		(根源患者)	한^한		『의학』		【2020년 8월 신어】
2021-0037	2021	근육옷감	근육^옷감		(筋肉옷감)	한^고		『기계』		【2021년 4월 신어】
2021-0038	2021	근육적금	근육 적금		(筋肉積金)	한_한	「구」			【2021년 6월 신어】
2021-0039	2021	금융복합기업집단	금융^복합^기업^집단		(金融複合企業集團)	한^한^한^한		『경제』		【2020년 12월 신어】
2021-0040	2021	금융복합기업집단법	금융^복합^기업^집단법		(金融複合企業集團法)	한^한^한^한		『법률』		【2020년 12월 신어】
2021-0041	2021	금융소송원	금융 소송원		(金融訴訟院)	한_한	「구」			【2021년 2월 신어】
