IDX	최초 출현 연도	색인표제어	등재표제어	조어 유형	원어	어종	품사	전문분야	의미 영역	X년 Y월 신어
2021-0042	2021	금융치료	금융 치료01		(金融治療)	한_한	「구」			【2021년 1월 신어】
2021-0043	2021	급식개미	급식^개미		(給食개미)	한^고		『경제』		【2020년 8월 신어】
2021-0044	2021	기근바이러스	기근^바이러스		(飢饉<영>virus)	한^영		『사회 일반』		【2020년 11월 신어】
2021-0045	2021	기변기추	기변-기추		(機變機追)	한+한	「명」			【2020년 10월 신어】
2021-0046	2021	기본소득국민운동	기본^소득^국민운동		(基本所得國民運動)	한^한^한		『사회 일반』		【2020년 11월 신어】
2021-0047	2021	기본소득토지세	기본^소득^토지세		(基本所得土地稅)	한^한^한		『법률』		【2020년 7월 신어】
2021-0048	2021	기초학술기본법	기초^학술^기본법		(基礎學術基本法)	한^한^한		『법률』		【2021년 4월 신어】
2021-0049	2021	기후민감계층	기후^민감^계층		(氣候敏感階層)	한^한^한		『사회 일반』		【2021년 1월 신어】
2021-0050	2021	기후테크	기후-테크		(氣候<영>tech)	한+영	「명」	『지구』		【2020년 10월 신어】
2021-0051	2021	깃깔따구속	깃깔따구-속		(깃깔따구屬)	고+한	「명」	『동물』		【2020년 10월 신어】
2021-0052	2021	껄무새	껄무새		(껄鵡새)	고+한+고	「명」			【2021년 2월 신어】
2021-0053	2021	꼬마개미	꼬마^개미			고^고		『경제』		【2021년 1월 신어】
2021-0054	2021	냥또	냥또		(냥←Lotto)	고+영	「명」			【2021년 3월 신어】
2021-0055	2021	네카라쿠배	네카라쿠배		(←Naver←Kakao←Line←Coupang配)	영+영+영+영+한	「명」			【2020년 8월 신어】
2021-0056	2021	네카라쿠배당토	네카라쿠배당토		(←Naver←Kakao←Line←Coupang配當←Toss)	영+영+영+영+한+한+영	「명」			【2021년 2월 신어】
2021-0057	2021	네카라쿠배당토직야	네카라쿠배당토직야		(←Naver←Kakao←Line←Coupang配當←Toss直야)	영+영+영+영+한+한+영+한+고	「명」			【2021년 4월 신어】
2021-0058	2021	넷술족	넷술-족		(←Netfix술族)	(영+고)+한	「명」			【2021년 3월 신어】
2021-0059	2021	노가더	노가더		(<일>←dokata[土方]<영>←er)	일+영	「명」			【2021년 5월 신어】
2021-0060	2021	노쇼백신	노쇼^백신		(<영>no-show vaccine)	영^영		『보건 일반』		【2021년 4월 신어】
2021-0061	2021	다크이코노미	다크^이코노미		(<영>dark economy)	영^영		『경제』		【2021년 1월 신어】
2021-0062	2021	단일정액제	단일^정액제		(單一定額制)	한^한		『법률』		【2020년 11월 신어】
2021-0063	2021	단풍방역	단풍 방역		(丹楓防疫)	한_한	「구」			【2020년 10월 신어】
2021-0064	2021	당근질	당근-질			고+고	「명」			【2020년 7월 신어】
2021-0065	2021	당모치	당모치		(당모<영>←chicken)	고+고+영	「명」			【2020년 10월 신어】
2021-0066	2021	대깨족	대깨-족		(대깨族)	고+한	「명」			【2020년 12월 신어】
2021-0067	2021	대네수엘라	대네수엘라		(大←Venezuela)	한+영	「명」			【2020년 7월 신어】
2021-0068	2021	대북방송금지법	대북 방송 금지법		(對北放送禁止法)	한_한_한	「구」			【2021년 4월 신어】
2021-0069	2021	대팔대사	대팔대사			고+고+고+고	「명」			【2021년 4월 신어】
2021-0070	2021	더블링현상	더블링^현상		(<영>doubling現象)	영^한		『보건 일반』		【2020년 8월 신어】
2021-0071	2021	덧보고	덧-보고		(덧報告)	고+한	「명」	『정치』		【2021년 1월 신어】
2021-0072	2021	데스크패션	데스크 패션		(<영>▼desk fashion)	영_영	「구」			【2020년 12월 신어】
2021-0073	2021	데이터담보대출	데이터^담보^대출		(<영>data擔保貸出)	영^한^한		『경제』		【2021년 1월 신어】
2021-0074	2021	델타변이	델타^변이		(<그>delta變異)	그^한		『보건 일반』		【2021년 1월 신어】
2021-0075	2021	도보배달맨	도보 배달 맨		(徒步配達<영>man)	한_한_영	「구」			【2021년 1월 신어】
2021-0076	2021	도보배달원	도보 배달원		(徒步配達配)	한_한	「구」			【2021년 7월 신어】
2021-0077	2021	돔황챠	돔황챠			고	「동」			【2021년 4월 신어】
2021-0078	2021	동물특별사법경찰관	동물^특별^사법^경찰관		(動物特別司法警察官)	한^한^한^한		『행정』		【2020년 11월 신어】
2021-0079	2021	뒷광고	뒷-광고		(뒷廣告)	고+한	「명」			【2020년 7월 신어】
2021-0080	2021	디지털시장법	디지털^시장법		(<영>digital市場法)	영^한		『법률』		【2020년 12월 신어】
2021-0081	2021	따상상	따상상		(<영>←double上上)	영+한+한	「명」			【2020년 7월 신어】
2021-0082	2021	따상상상	따상상상		(<영>←double上上上)	영+한+한+한	「명」			【2020년 7월 신어】
2021-0083	2021	딱내스	딱내스		(딱내<영>←style)	고+고+영	「명」			【2020년 11월 신어】
2021-0084	2021	딴봉띠집회	딴봉띠^집회		(<미>←ttanpongtti集會)	미^한		『사회 일반』		【2021년 3월 신어】
2021-0085	2021	뚜따	뚜따			고+고	「명」			【2020년 7월 신어】
2021-0086	2021	뚝년배	뚝-년배		(뚝年輩)	고+한	「명」			【2020년 8월 신어】
2021-0087	2021	라이크커머스	라이크^커머스		(<영>like cummerce)	영^영		『경제』		【2020년 7월 신어】
2021-0088	2021	라할살	라할살			고+고+고	「명」			【2021년 3월 신어】
2021-0089	2021	랜선사원	랜선 사원		(<영>LAN線社員)	(영+한)_한	「구」			【2021년 2월 신어】
2021-0090	2021	랜선코칭	랜선 코칭		(<영>LAN線<영>coaching)	(영+한)_영	「구」			【2020년 7월 신어】
2021-0091	2021	랜친실안	랜친실안		(<영>LAN親實안)	영+한+한+고	「명」			【2021년 2월 신어】
2021-0092	2021	레이블링게임	레이블링^게임		(<영>labeling game)	영^영		『사회 일반』		【2020년 10월 신어】
2021-0093	2021	레이어드홈	레이어드^홈		(<영>layered home)	영^영		『사회 일반』		【2020년 10월 신어】
2021-0094	2021	레지던스트랙	레지던스^트랙		(<영>residence track)	영^영		『보건 일반』		【2020년 8월 신어】
2021-0095	2021	로빈후드운동	로빈^후드^운동		(Robin Hood運動)	영^영^한		『경제』		【2020년 7월 신어】
2021-0096	2021	로켓정산법	로켓^정산법		(<영>rocket定算法)	영^한		『법률』		【2021년 1월 신어】
2021-0097	2021	록다운세대	록다운^세대		(<영>lockdown世代)	영^한		『사회 일반』		【2021년 3월 신어】
2021-0098	2021	롤링바스켓	롤링 바스켓		(<영>rolling basket)	영_영	「구」			【2021년 1월 신어】
2021-0099	2021	롤코라이프	롤코^라이프		(<영>←roller coaster life)	영^영		『사회 일반』		【2021년 1월 신어】
2021-0100	2021	롤코족	롤코-족		(<영>←roller coaster族)	영+한	「명」	『사회 일반』		【2020년 10월 신어】
2021-0101	2021	루빙뽕	루빙뽕			고	「명」			【2020년 10월 신어】
2021-0102	2021	리뷰거지	리뷰 거지		(<영>review거지)	영_고	「구」			【2020년 12월 신어】
2021-0103	2021	리뷰진상	리뷰 진상		(<영>review진상)	영_고	「구」			【2021년 3월 신어】
2021-0104	2021	리얼돌방	리얼돌-방		(<영>realdoll房)	영+한	「명」			【2021년 4월 신어】
2021-0105	2021	마기꾼	마기꾼		(<영>←mask欺꾼)	영+한+고	「명」			【2020년 11월 신어】
2021-0106	2021	마꾸	마꾸		(<영>←mask꾸)	영+고	「명」			【2020년 8월 신어】
2021-0107	2021	마드름	마드름		(<영>←mask드름)	영+고	「명」			【2020년 8월 신어】
2021-0108	2021	마스크네	마스크네		(<영>←mask←acne)	영+영	「명」			【2020년 7월 신어】
2021-0109	2021	많관부	많관부		(많關付)	영+한+한	「명」			【2020년 8월 신어】
2021-0110	2021	먹노매	먹노매			고+고+고	「명」			【2021년 2월 신어】
2021-0111	2021	메타노믹스	메타노믹스		(<영>metanomics)	영	「명」	『경제』		【2021년 3월 신어】
2021-0112	2021	면역대리지표	면역^대리^지표		(免疫代理指標)	한^한^한		『의학』		【2021년 2월 신어】
2021-0113	2021	무인탐사헬기	무인^탐사^헬기		(無人探査<영>←helicopter機)	한^한^(영+한)		『천문』		【2021년 4월 신어】
2021-0114	2021	문콕족	문콕-족		(門콕族)	(한+고)+한	「명」			【2020년 10월 신어】
2021-0115	2021	뭐하회	뭐하회		(뭐하會)	고+고+한	「명」			【2021년 1월 신어】
2021-0116	2021	민지세대	민지^세대		(민지世代)	고^한		『사회 일반』		【2021년 6월 신어】
2021-0117	2021	밀보드차트	밀보드^차트		(<영>▼←military Billboard chart)	영^영		『음악』		【2021년 2월 신어】
2021-0118	2021	바이드노믹스	바이드노믹스		(<영>Bidenomics)	영	「명」	『경제』		【2020년 10월 신어】
2021-0119	2021	바프	바프		(<영>▼←body profile)	영+영	「명」			【2020년 7월 신어】
2021-0120	2021	반값임대료법	반값^임대료법		(半값賃貸料法)	(한+고)^한		『경제』		【2020년 10월 신어】
2021-0121	2021	반백신론자	반백신론-자		(反<영>vaccine論者)	(한+영+한)+한	「명」			【2020년 8월 신어】
2021-0122	2021	방꾸	방-꾸		(房꾸)	한+고	「명」			【2019년 12월 신어】
2021-0123	2021	방방봐	방방봐		(放放봐)	한+한+고	「명」			【2021년 1월 신어】
2021-0124	2021	방역신뢰국	방역^신뢰국		(防疫信賴國)	한^한		『보건 일반』		【2021년 3월 신어】
2021-0125	2021	배민맛	배민-맛		(配民맛)	한+고	「명」			【2021년 1월 신어】
2021-0126	2021	배배테크	배배^테크		(倍賠<영>tech)	한^영		『경제』		【2020년 11월 신어】
2021-0127	2021	백슬로핑	백슬로핑		(<영>backslopping)	영	「명」			【2021년 1월 신어】
2021-0128	2021	백시케이션01	백시케이션01		(<영>vaxication)	영	「명」			【2021년 3월 신어】
2021-0129	2021	백시케이션02	백시케이션02		(<영>vaxication)	영	「명」			【2021년 3월 신어】
2021-0130	2021	백신디바이드	백신^디바이드		(<영>vaccine divide)	영^영		『보건 일반』		【2020년 12월 신어】
2021-0131	2021	백신사절단	백신^사절단		(<영>vaccine使節團)	영^한		『보건 일반』		【2021년 4월 신어】
2021-0132	2021	백신여권	백신^여권		(<영>vaccine旅券)	영^한		『보건 일반』		【2020년 11월 신어】
2021-0133	2021	백신장벽	백신 장벽		(<영>vaccine障壁)	영_한	「구」			【2020년 12월 신어】
2021-0134	2021	백신절벽	백신 절벽		(<영>vaccine絕壁)	영_한	「구」			【2020년 12월 신어】
2021-0135	2021	백신패스	백신^패스		(<영>vaccine pass)	영^영		『보건 일반』		【2021년 2월 신어】
2021-0136	2021	백신휴가제도	백신^휴가^제도		(<영>vaccine休暇制度)	영^한^한		『보건 일반』		【2021년 3월 신어】
2021-0137	2021	베이스시프트	베이스^시프트		(<영>base shift)	영^영		『경제』		【2020년 7월 신어】
2021-0138	2021	베타변이	베타^변이		(<그>beta變異)	그^한		『보건 일반』		【2021년 6월 신어】
2021-0139	2021	벼락거지	벼락-거지			고+고	「명」			【2020년 10월 신어】
2021-0140	2021	부동산블루	부동산 블루		(不動産<영>blue)	한_영	「구」			【2020년 8월 신어】
2021-0141	2021	부머쇼퍼	부머 쇼퍼		(<영>▼boomer shopper)	영_영	「구」			【2021년 6월 신어】
2021-0142	2021	부패완판	부패완판		(腐敗完판)	한+한+고	「명」			【2021년 2월 신어】
2021-0143	2021	브러싱스캠	브러싱 스캠		(<영>brushing scam)	영_영	「구」			【2020년 7월 신어】
2021-0144	2021	브이노믹스	브이노믹스		(<영>▼←virus economics)	영+영	「명」	『경제』		【2020년 10월 신어】
2021-0145	2021	비건헬스	비건 헬스		(<영>vegan health)	영_영	「구」			【2021년 2월 신어】
2021-0146	2021	비격리여행권역	비격리^여행^권역		(非隔離旅行圈域)	한^한^한		『행정』		【2021년 1월 신어】
2021-0147	2021	빵공	빵-공		(빵工)	고+한	「명」			【2020년 9월 신어】
2021-0148	2021	빵공족	빵공-족		(빵工族)	고+한+한	「명」			【2020년 9월 신어】
2021-0149	2021	사이버레커	사이버 레커		(<영>▼cyber wrecker)	영_영	「구」			【2020년 12월 신어】
2021-0150	2021	사전위탁보호제	사전^위탁^보호제		(事前委託保護制)	한^한^한		『행정』		【2021년 1월 신어】
2021-0151	2021	사전위탁보호제도	사전^위탁^보호^제도		(事前委託保護制度)	한^한^한^한		『행정』		【2021년 1월 신어】
2021-0152	2021	산스장	산스장		(山▼←health場)	한+영+한	「명」			【2020년 8월 신어】
2021-0153	2021	삼대이모님	삼대 이모님		(三大姨母님)	한_(한+고)	「구」			【2020년 12월 신어】
2021-0154	2021	상생소비지원금	상생^소비^지원금		(相生消費支援金)	한^한^한		『복지』		【2021년 6월 신어】
2021-0155	2021	상폐빔	상폐^빔		(上廢<영>beam)	한^영		『경제』		【2021년 4월 신어】
2021-0156	2021	생떼탕	생떼-탕		(生떼湯)	(한+고)+한	「명」			【2021년 4월 신어】
2021-0157	2021	서학개미	서학^개미		(西學개미)	한^고		『경제』		【2020년 8월 신어】
2021-0158	2021	서학개미운동	서학^개미^운동		(西學개미運動)	한^고^한		『경제』		【2020년 8월 신어】
2021-0159	2021	세계백신면역개발연합	세계^백신^면역^개발^연합		(世界<영>vaccine免疫開發聯合)	한^영^한^한^한		『보건 일반』		【2020년 8월 신어】
2021-0160	2021	세금멈춤법	세금^멈춤법		(稅金멈춤法)	한^(고+한)		『경제』		【2020년 12월 신어】
2021-0161	2021	세컨슈머	세컨슈머		(<영>▼←second consumer)	영+영	「명」			【2020년 11월 신어】
2021-0162	2021	손민수하다	손민수-하다			고+고	「동」			【2021년 4월 신어】
2021-0163	2021	숏케팅	숏케팅		(<영>▼←short marketing)	영+영	「명」			【2021년 2월 신어】
2021-0164	2021	수정체낭절개술	수정체낭^절개술		(水晶體囊切開術)	한^한		『의학』		【2020년 7월 신어】
2021-0165	2021	쉬세션	쉬세션		(<영>shecession)	영	「명」			【2021년 3월 신어】
2021-0166	2021	쉽살재빙	쉽살재빙		(쉽살재<영>←bingo)	고+고+고+영	「명」			【2020년 10월 신어】
2021-0167	2021	스가노믹스	스가노믹스		(Suga[菅]<영>←economics)	일+영	「명」	『경제』		【2020년 9월 신어】
2021-0168	2021	스강신청	스강 신청		(<일>sushi[鮨]講申請)	(일+한)_한	「구」			【2021년 2월 신어】
2021-0169	2021	스펜데믹	스펜데믹		(<영>spendemic)	영	「명」			【2021년 10월 신어】
2021-0170	2021	스핏후드	스핏^후드		(<영>spit hood)	영^영		『복식』		【2020년 9월 신어】
2021-0171	2021	시기상조회	시기상조-회		(時機尙早會)	한+한	「명」			【2020년 10월 신어】
2021-0172	2021	시심비	시심-비		(時心比)	한+한	「명」			【2021년 1월 신어】
2021-0173	2021	식집사	식-집사		(植執事)	한+한	「명」			【2021년 4월 신어】
2021-0174	2021	신꾸	신꾸			고+고	「명」			【2021년 12월 신어】
2021-0175	2021	신속진단검사센터	신속^진단^검사^센터		(迅速診斷檢査<영>center)	한^한^한^영		『보건 일반』		【2021년 4월 신어】
2021-0176	2021	싫테	싫테		(싫<영>←terror)	고+영	「명」			【2021년 2월 신어】
2021-0177	2021	쌀먹	쌀-먹			고+고	「명」			【2020년 7월 신어】
2021-0178	2021	쏠드족	쏠드-족		(<영>←smart old族)	영+한	「명」			【2020년 8월 신어】
2021-0179	2021	아끼똥	아끼-똥			고+고	「명」			【2021년 6월 신어】
2021-0180	2021	아동돌봄특별지원	아동^돌봄^특별^지원		(兒童돌봄特別支援)	한^고^한^한		『복지』		【2020년 9월 신어】
2021-0181	2021	아동특별돌봄비	아동^특별^돌봄비		(兒童特別돌봄費)	한^한^(고+한)		『복지』		【2020년 9월 신어】
2021-0182	2021	아동특별돌봄지원	아동^특별^돌봄^지원		(兒童特別돌봄支援)	한^한^고^한		『복지』		【2020년 9월 신어】
2021-0183	2021	아동특별돌봄지원금	아동^특별^돌봄^지원금		(兒童特別돌봄支援金)	한^한^고^한		『복지』		【2020년 9월 신어】
2021-0184	2021	아동특별돌봄지원비	아동^특별^돌봄^지원비		(兒童特別돌봄支援費)	한^한^고^한		『복지』		【2020년 9월 신어】
2021-0185	2021	아재백신	아재 백신		(←AstraZeneca<영>vaccine)	영_영	「구」			【2021년 3월 신어】
2021-0186	2021	안내스	안내스		(안내<영>←style)	고+영	「명」			【2020년 11월 신어】
2021-0187	2021	알몸김치	알몸 김치			고_고	「구」			【2021년 6월 신어】
2021-0188	2021	알파변이	알파^변이		(<영>alpha變異)	영^한		『보건 일반』		【2021년 3월 신어】
2021-0189	2021	액화수소열차	액화^수소^열차		(液化水素列車)	한^한^한		『교통』		【2020년 9월 신어】
2021-0190	2021	양자난수생성기술	양자^난수^생성^기술		(量子亂數生成技術)	한^한^한^한		『정보·통신』		【2021년 6월 신어】
2021-0191	2021	에브리싱랠리	에브리싱^랠리		(<영>everything rally)	영^영		『경제』		【2020년 12월 신어】
2021-0192	2021	에프와이피	에프와이피		(<영>FYP)	영	「명」			【2021년 3월 신어】
2021-0193	2021	엔차신상	엔차 신상		(<영>n次新商)	(영+한)_한	「구」			【2020년 10월 신어】
2021-0194	2021	엘에이치로남불	엘에이치로남불		(LH<영>←romance남不)	영+고+한	「명」			【2021년 3월 신어】
2021-0195	2021	엠뷰티	엠 뷰티		(<영>▼M beauty)	영_영	「구」			【2021년 6월 신어】
2021-0196	2021	여행안전권역	여행^안전^권역		(旅行安全圈域)	한^한^한		『행정』		【2021년 4월 신어】
2021-0197	2021	연금개미	연금^개미		(年金개미)	한^고		『경제』		【2020년 9월 신어】
2021-0198	2021	영끌러	영끌-러		(靈끌<영>←er)	(한+고)+영	「명」			【2020년 8월 신어】
2021-0199	2021	영끌매수	영끌 매수		(靈끌買收)	(한+고)_한	「구」			【2020년 7월 신어】
2021-0200	2021	영끌족	영끌-족		(靈끌族)	(한+고)+한	「명」			【2020년 8월 신어】
2021-0201	2021	영털	영털		(靈털)	한+고	「명」			【2020년 9월 신어】
2021-0202	2021	오륙남	오륙-남		(五六男)	한+한	「명」			【2020년 8월 신어】
2021-0203	2021	오하운	오하운		(오하運)	고+고+한	「명」			【2020년 10월 신어】
2021-0204	2021	완내스	완내스		(完내<영>←style)	한+고+영	「명」			【2020년 10월 신어】
2021-0205	2021	우먼버핏	우먼^버핏		(<영>woman Buffett)	영^영		『경제』		【2020년 12월 신어】
2021-0206	2021	워크레져패션	워크^레저^패션		(<영>work leisure fashion)	영^영^영		『복식』		【2021년 2월 신어】
2021-0207	2021	유도슈트	유도^슈트		(誘導<영>chute)	한^영		『기계』		【2021년 3월 신어】
2021-0208	2021	육아기본소득	육아^기본^소득		(育兒基本所得)	한^한^한		『복지』		【2020년 11월 신어】
2021-0209	2021	육아전문관리사	육아^전문^관리사		(育兒專門管理士)	한^한^한		『사회 일반』		【2020년 8월 신어】
2021-0210	2021	음토토	음토토		(<와>mtoto)	와	「명」	『역사』		【2021년 5월 신어】
2021-0211	2021	의무공공기여	의무^공공^기여		(義務公共寄與)	한^한^한		『행정』		【2021년 6월 신어】
2021-0212	2021	이말올	이말올			고+고+고	「명」			【2020년 7월 신어】
2021-0213	2021	이모카세	이모카세		(姨母<일>←omaka[御任]se)	한+일	「명」			【2020년 12월 신어】
2021-0214	2021	이왜진	이왜진		(이왜眞)	고+고+한	「명」			【2020년 10월 신어】
2021-0215	2021	인플루언서블세대	인플루언서블^세대		(<영>influenceable世代)	영^한		『사회 일반』		【2020년 11월 신어】
2021-0216	2021	일가구일주택법	일^가구^일^주택법		(一家口一住宅法)	한^한^한^한		『법률』		【2020년 8월 신어】
2021-0217	2021	임대료멈춤법	임대료^멈춤법		(賃貸料멈춤法)	한^(고+한)		『경제』		【2020년 12월 신어】
2021-0218	2021	자본주의키즈	자본주의^키즈		(資本主義<영>kids)	한^영		『사회 일반』		【2020년 10월 신어】
2021-0219	2021	자율방역로봇	자율^방역^로봇		(自律防疫<영>robot)	한^한^영		『기계』		【2020년 8월 신어】
2021-0220	2021	자컨	자콘		(自<영>←contents)	한+영	「명」			【2021년 3월 신어】
2021-0221	2021	재난시기상가임대료감면법	재난^시기^상가^임대료^감면법		(災難時期商家賃貸料減免法)	한^한^한^한^한		『법률』		【2020년 12월 신어】
2021-0222	2021	재산비례벌금제	재산^비례^벌금제		(財産比例罰金制)	한^한^한		『법률』		【2019년 8월 신어】
2021-0223	2021	재텔근무	재텔-근무		(在<영>←hotel勤務)	(한+영)+한	「명」			【2020년 9월 신어】
2021-0224	2021	잼민이	잼민-이			고+고	「명」			【2020년 10월 신어】
2021-0225	2021	전국민재난지원패키지	전^국민^재난^지원^패키지		(全國民災難支援<영>package)	한^한^한^한^영		『복지』		【2021년 6월 신어】
2021-0226	2021	전략장거리포	전략^장거리포		(戰略長距離砲)	한^한		『군사』		【2020년 8월 신어】
2021-0227	2021	전월세금지법	전월세^금지법		(傳月貰禁止法)	한^한		『법률』		【2020년 12월 신어】
2021-0228	2021	전자예방접종증명서	전자^예방^접종^증명서		(電子豫防接種證明書)	한^한^한^한		『보건 일반』		【2021년 3월 신어】
2021-0229	2021	젊치인	젊치-인		(젊治人)	(고+한)+한	「명」			【2021년 4월 신어】
2021-0230	2021	점심시간일괄휴식제	점심시간 일괄 휴식제		(點心時間一括休息制)	한_한_한	「구」			【2021년 4월 신어】
2021-0231	2021	정자공여시술	정자 공여 시술		(精子供與施術)	한_한_한	「구」			【2020년 11월 신어】
2021-0232	2021	정책형뉴딜펀드	정책형^뉴딜^펀드		(政策型New Deal<영>fund)	한^영^영		『경제』		【2020년 9월 신어】
2021-0233	2021	정치신인트랙	정치 신인 트랙		(政治新人<영>track)	한_한_영	「구」			【2020년 11월 신어】
2021-0234	2021	제당슈만	제당슈만		(제當<영>←super star만)	고+한+영+고	「명」			【2021년 2월 신어】
2021-0235	2021	좋댓구알	좋댓구알		(좋對購알)	고+한+한+고	「명」			【2021년 1월 신어】
2021-0236	2021	주가꿈비율	주가^꿈^비율		(株價꿈比率)	한^고^한		『경제』		【2020년 7월 신어】
2021-0237	2021	주불	주불		(住불)	한+고	「명」			【2020년 10월 신어】
2021-0238	2021	주포원	주포-원		(住抛員)	한+한	「명」			【2020년 9월 신어】
2021-0239	2021	주폭방지법	주폭^방지법		(酒暴防止法)	한^한		『법률』		【2021년 4월 신어】
2021-0240	2021	줌술족	줌술-족		(Zoom술族)	(영+고)+한	「명」			【2021년 3월 신어】
2021-0241	2021	줌피로	줌-피로		(Zoom疲勞)	영+한	「명」			【2020년 9월 신어】
2021-0242	2021	중수청	중수-청		(重搜廳)	한+한	「명」			【2020년 9월 신어】
2021-0243	2021	중수청법	중수청-법		(重搜廳法)	한+한	「명」	『법률』		【2021년 2월 신어】
2021-0244	2021	중수청장	중수청-장		(重搜廳長)	한+한	「명」			【2021년 2월 신어】
2021-0245	2021	중앙예방접종센터	중앙^예방^접종^센터		(中央豫防接踵center)	한^한^한^영		『보건 일반』		【2021년 1월 신어】
2021-0246	2021	지역재생잠재력지수	지역^재생^잠재력^지수		(地域再生潛在力指數)	한^한^한^한		『사회 일반』		【2020년 12월 신어】
2021-0247	2021	지옥개미	지옥-개미		(地獄개미)	한+고	「명」			【2020년 8월 신어】
2021-0248	2021	집단면역가설	집단^면역^가설		(集團免疫假說)	한^한^한		『보건 일반』		【2020년 9월 신어】
2021-0249	2021	집착광공	집착 광공		(執着狂攻)	한_한	「구」			【2020년 7월 신어】
2021-0250	2021	쩝쩝박사	쩝쩝-박사		(쩝쩝博士)	고+한	「명」			【2020년 9월 신어】
2021-0251	2021	쫌쫌따리01	쫌쫌-따리01			고+고	「명」			【2020년 12월 신어】
2021-0252	2021	쫌쫌따리02	쫌쫌-따리02			고+고	「부」			
2021-0253	2021	차박튀	차박튀		(車박튀)	한+고+고	「명」			【2020년 10월 신어】
2021-0254	2021	책임등교	책임 등교		(責任登校)	한_한	「구」			【2020년 9월 신어】
2021-0255	2021	천스닥	천스닥		(千<영>←KOSDAQ)	한+영	「명」			【2020년 12월 신어】
2021-0256	2021	청년특별구직지원금	청년^특별^구직^지원금		(靑年特別求職支援金)	한^한^한^한		『복지』		【2020년 9월 신어】
2021-0257	2021	청무구사	청무구사		(請무舊사)	한+고+한+고	「명」			【2020년 7월 신어】
2021-0258	2021	청산가정반환율	청산^가정^반환율		(淸算假定返還率)	한^한^한		『경제』		【2020년 7월 신어】
2021-0259	2021	촌캉스	촌캉스		(村<프>←vacance)	한+프	「명」			【2020년 7월 신어】
2021-0260	2021	칩플레이션	칩플레이션		(<영>▼chip←inflation)	영	「명」	『경제』		【2021년 3월 신어】
2021-0261	2021	캐해	캐해		(<영>←character解)	영+한	「명」			【2020년 11월 신어】
2021-0262	2021	코끝모	코끝모		(<영>←corona virus끝모)	영+고+고	「명」			【2021년 3월 신어】
2021-0263	2021	코로나레드	코로나 레드		(<영>▼←corona virus red)	영_영	「구」			【2020년 9월 신어】
2021-0264	2021	코로나손실보상법	코로나^손실^보상법		(<영>←corona virus損失補償法)	영^한^한		『법률』		【2021년 1월 신어】
2021-0265	2021	코로나앵그리	코로나 앵그리		(<영>▼←corona virus angry)	영_영	「구」			【2020년 8월 신어】
2021-0266	2021	코로나피로도	코로나 피로도		(<영>←corona virus疲勞度)	영_한	「구」			【2020년 8월 신어】
2021-0267	2021	코로나학번	코로나 학번		(<영>←corona virus學番)	영_한	「구」			【2020년 3월 신어】
2021-0268	2021	코비디오파티	코비디오 파티		(<영>covideo party)	영_영	「구」			【2021년 1월 신어】
2021-0269	2021	코세글자	코세글자		(<영>←corona virus세글字	영+고+(고+한)	「명」			【2020년 9월 신어】
2021-0270	2021	코스크	코스크		(코<영>←mask)	고+영	「명」			【2020년 8월 신어】
2021-0271	2021	코인민심	코인 민심		(<영>coin民心)	영_한	「구」			【2021년 4월 신어】
2021-0272	2021	코파라치	코파라치		(<영>←corona virus<이>←paparazzi)	영+이	「명」			【2020년 9월 신어】
2021-0273	2021	콜체크인	콜 체크인		(<영>▼call check-in)	영_영	「구」			【2020년 11월 신어】
2021-0274	2021	쿠세권	쿠세-권		(←Coupang勢圈)	영+한	「명」			【2021년 4월 신어】
